Year,Review
2022,What a joke of a Store! Took like 3 weeks to get my order! This app is a joke also! I'm cutting up my gap card
2023,love the quality
2022,easy to search for items
2021,quality style size available and great customer service
2021,"I dig the app, having seen far inferior ones, no complaints on my part."
2021,Really don't have much of a variety to choose from other than tops.
2023,I love the Gap but the app crashes too much
2021,Option for credit card doesn't not work. Cannot pay bills
2022,I like having all the stores in one app. Very helpful.
2021,Says exciting news get new app on google I click ok but cant get in says something went wrong
2022,too easy to use! hehe and great this time of year!
2021,"I love there kids clothes and there great buys ,how well things are made love the Gap"
2021,love items and excellent customer service
2023,"easy to order, good discounts"
2021,love easy access to multiple brands!
2021,You can always fine something cute for gifts or just for you your self & I.
2021,I buy my sweatshirts hoodie 's from gap they last forever great quality.
2023,I only downloaded for the Dap hoodie and they don't have any stock and they don't tell you when they're available.
2021,out of so many different brand name jeans gap is so authentic i recommend their jeans 100% for me i love true skinny high rise jeans...happy i find great jeans hugs me lovely
2023,Won't update properly and I can not shop
2022,Enjoy all the promo code the app gives for shopping online.
2022,"Easy, secure and helpful"
2022,"Hi, the gap store apps I recieved good service"
2022,The app is easy to navigate! ????
2022,Glitchy app. Keeps loading for ever.
2022,Cannot check out. Receive an error message every time I try.
2023,Too many problems. Need to be fixed asap...
